ID,Principal,Maturity,Coupon Rate,LGD,Counterparty,Number of Bonds,Industry
50816,"$7,000",26-Dec-2018,7.0%,0.292,Deutsche Bank,70,2
31789,"$2,000",30-Jul-2020,7.0%,0.287,Banco Santander,20,7
37315,"$11,000",29-Jun-2017,8.5%,0.287,Bank of America,110,2
57351,"$6,000",11-Mar-2020,3.0%,0.526,Wells Fargo,60,5
50222,"$6,000",18-Jul-2017,6.5%,0.287,TD Bank,60,5
42053,"$3,000",18-Jun-2018,6.5%,0.522,TD Bank,30,9
47478,"$4,000",16-Dec-2020,8.5%,0.526,Fidelity,40,10
48158,"$3,000",3-Jun-2018,8.5%,0.207,Suntrust,30,2
55232,"$8,000",14-Aug-2019,6.0%,0.526,Barclays,80,1
50739,"$7,000",17-Nov-2017,3.0%,0.292,Deutsche Bank,70,6
30797,"$3,000",9-Nov-2020,5.0%,0.526,Capital One,30,8
55569,"$6,000",22-Nov-2017,4.5%,0.287,Wells Fargo,60,8
33702,"$3,000",23-Jun-2017,9.0%,0.522,HSBC,30,10
54843,"$5,000",20-Dec-2020,8.0%,0.522,Capital One,50,4
41436,"$5,000",2-Nov-2020,8.5%,0.526,Wells Fargo,50,6
42120,"$6,000",19-Jun-2017,3.0%,0.287,Wells Fargo,60,1
43575,"$7,000",17-Aug-2019,9.0%,0.207,Suntrust,70,10
58312,"$6,000",4-May-2019,9.0%,0.287,Bank of America,60,7
36308,"$16,000",2-Jul-2019,4.5%,0.292,Banco Santander,160,7
57437,"$3,000",11-Nov-2018,7.0%,0.292,US Bancorp,30,3
42962,"$4,000",29-Mar-2019,9.0%,0.522,Capital One,40,7
54420,"$4,000",19-Feb-2020,9.0%,0.207,Deutsche Bank,40,2
57637,"$4,000",4-Oct-2019,4.0%,0.292,American Express,40,5
38382,"$7,000",16-Jul-2018,6.5%,0.522,Deutsche Bank,70,8
56640,"$3,000",23-Mar-2019,5.0%,0.522,Barclays,30,6
59601,"$5,000",19-Jan-2018,8.0%,0.287,Barclays,50,6
59809,"$7,000",16-Apr-2019,7.5%,0.522,JPMorgan Chase,70,4
44533,"$7,000",25-Dec-2017,4.0%,0.292,Goldman Sachs,70,2
43820,"$7,000",26-Apr-2018,7.0%,0.287,US Bancorp,70,6
52748,"$2,000",6-May-2021,9.0%,0.292,Goldman Sachs,20,5
49064,"$3,000",28-Nov-2018,5.5%,0.526,Banco Santander,30,2
54125,"$3,000",29-May-2019,8.5%,0.287,Bank of America,30,8
40379,"$1,000",5-Aug-2017,8.5%,0.287,Wells Fargo,10,8
35059,"$11,000",12-Jul-2019,8.5%,0.287,HSBC,110,6
55501,"$5,000",29-Sep-2020,7.0%,0.526,Goldman Sachs,50,6
48680,"$12,000",31-May-2017,7.0%,0.207,Banco Santander,120,3
50753,"$2,000",24-Apr-2021,7.5%,0.207,Suntrust,20,9
45418,"$10,000",7-Oct-2020,4.5%,0.522,Suntrust,100,3
57282,"$29,000",29-Apr-2018,8.0%,0.522,HSBC,290,2
58050,"$10,000",20-Aug-2018,7.5%,0.207,Suntrust,100,4
51403,"$4,000",19-Feb-2020,8.5%,0.522,Bank of America,40,8
30688,"$5,000",24-Aug-2018,4.0%,0.522,Citigroup,50,7
34688,"$5,000",23-Jun-2017,5.0%,0.207,Goldman Sachs,50,9
42013,"$5,000",24-May-2020,9.0%,0.292,Capital One,50,4
51124,"$17,000",16-Jul-2020,6.0%,0.207,Barclays,170,5
32649,"$16,000",30-May-2019,4.0%,0.526,Fidelity,160,6
33122,"$6,000",8-Aug-2019,4.0%,0.526,Citigroup,60,2
47456,"$6,000",28-Oct-2019,4.5%,0.287,Suntrust,60,2
52645,"$11,000",15-Dec-2019,4.5%,0.526,US Bancorp,110,5
56464,"$11,000",30-Aug-2020,8.5%,0.522,Banco Santander,110,7
53296,"$5,000",9-Jan-2019,5.5%,0.522,Capital One,50,8
39936,"$8,000",14-Sep-2019,9.0%,0.526,Banco Santander,80,2
46011,"$9,000",20-Aug-2017,9.0%,0.526,Banco Santander,90,2
59714,"$7,000",12-May-2019,8.0%,0.292,Deutsche Bank,70,9
58066,"$10,000",4-Mar-2019,7.5%,0.526,US Bancorp,100,2
57857,"$14,000",3-Mar-2020,8.5%,0.292,Bank of America,140,9
52328,"$11,000",9-Mar-2020,3.5%,0.292,JPMorgan Chase,110,8
54751,"$5,000",26-May-2020,5.0%,0.287,Citigroup,50,7
58142,"$8,000",21-Dec-2018,5.0%,0.522,Fidelity,80,7
44421,"$12,000",11-Nov-2020,6.5%,0.292,Bank of America,120,7
55798,"$5,000",20-Mar-2019,3.5%,0.526,Wells Fargo,50,10
33620,"$4,000",9-Oct-2019,9.0%,0.292,Banco Santander,40,3
36516,"$4,000",29-May-2019,7.5%,0.287,Wells Fargo,40,9
38179,"$3,000",6-Feb-2019,5.5%,0.287,US Bancorp,30,5
50595,"$3,000",16-Sep-2017,4.5%,0.292,Banco Santander,30,5
41286,"$4,000",3-Nov-2019,6.0%,0.526,Deutsche Bank,40,8
48478,"$10,000",12-May-2020,7.0%,0.207,Capital One,100,2
41042,"$5,000",5-Feb-2019,5.5%,0.207,Fidelity,50,8
44774,"$13,000",13-May-2018,4.5%,0.526,Banco Santander,130,4
34517,"$4,000",19-Jan-2018,7.5%,0.522,HSBC,40,2
42387,"$4,000",22-Feb-2019,9.0%,0.287,Goldman Sachs,40,6
30229,"$5,000",1-Aug-2020,4.5%,0.207,Citigroup,50,1
38826,"$4,000",30-Dec-2020,7.0%,0.522,Barclays,40,2
50170,"$7,000",11-May-2020,3.5%,0.522,Wells Fargo,70,9
52248,"$8,000",16-Aug-2018,4.5%,0.292,JPMorgan Chase,80,3
37220,"$11,000",17-Feb-2019,3.0%,0.526,Barclays,110,6
32306,"$7,000",25-Feb-2019,4.5%,0.522,Banco Santander,70,6
54170,"$10,000",4-Feb-2019,8.0%,0.207,Deutsche Bank,100,6
39969,"$14,000",20-Aug-2017,3.0%,0.526,Wells Fargo,140,4
48715,"$10,000",11-Dec-2019,8.0%,0.526,Citigroup,100,2
42843,"$12,000",12-Jan-2018,8.0%,0.526,TD Bank,120,1
60315,"$9,000",12-Apr-2020,3.5%,0.287,Fidelity,90,10
53599,"$4,000",5-Apr-2021,4.0%,0.522,Citigroup,40,10
55528,"$7,000",11-Jan-2020,4.0%,0.526,Barclays,70,2
52478,"$5,000",21-May-2019,4.0%,0.522,Barclays,50,6
42192,"$40,000",14-Jan-2020,6.5%,0.292,Banco Santander,400,5
30242,"$3,000",26-Nov-2020,7.5%,0.522,Deutsche Bank,30,4
57432,"$5,000",21-May-2019,8.0%,0.526,TD Bank,50,7
42915,"$8,000",17-Feb-2018,5.5%,0.207,Deutsche Bank,80,6
30005,"$5,000",13-Mar-2021,9.0%,0.292,Deutsche Bank,50,9
44927,"$4,000",10-Dec-2020,7.0%,0.207,TD Bank,40,8
34564,"$13,000",4-Feb-2021,5.0%,0.526,JPMorgan Chase,130,6
35986,"$3,000",15-Jul-2019,6.0%,0.292,US Bancorp,30,6
56701,"$7,000",9-Mar-2019,4.0%,0.207,Bank of America,70,10
44029,"$7,000",1-Nov-2018,3.5%,0.287,US Bancorp,70,7
59734,"$7,000",26-Nov-2020,7.5%,0.522,HSBC,70,3
33536,"$8,000",25-Sep-2018,5.5%,0.207,Wells Fargo,80,7
32785,"$6,000",14-May-2018,5.0%,0.287,Banco Santander,60,7
37987,"$4,000",16-Jul-2020,7.0%,0.292,Capital One,40,7
41217,"$6,000",25-Dec-2020,8.0%,0.292,JPMorgan Chase,60,1
58321,"$4,000",31-Aug-2017,6.0%,0.526,JPMorgan Chase,40,10
59902,"$3,000",6-Oct-2018,4.5%,0.526,Banco Santander,30,5
31958,"$2,000",25-Mar-2018,5.5%,0.207,Fidelity,20,7
57392,"$24,000",16-Sep-2019,9.0%,0.292,JPMorgan Chase,240,2
54679,"$3,000",27-Jan-2020,4.0%,0.207,Goldman Sachs,30,5
38595,"$15,000",14-Aug-2017,8.0%,0.292,Banco Santander,150,9
45685,"$15,000",3-Mar-2020,7.5%,0.207,Capital One,150,8
31996,"$10,000",7-Dec-2020,5.0%,0.526,American Express,100,7
43612,"$7,000",20-Jan-2019,3.0%,0.526,Banco Santander,70,1
39165,"$4,000",28-Mar-2018,7.0%,0.522,TD Bank,40,1
45733,"$14,000",22-Nov-2017,3.5%,0.522,Bank of America,140,10
45683,"$4,000",6-Nov-2020,9.0%,0.292,Deutsche Bank,40,10
30176,"$7,000",13-Jun-2018,5.0%,0.287,Goldman Sachs,70,2
58646,"$8,000",9-Nov-2020,5.0%,0.287,US Bancorp,80,8
51635,"$2,000",27-Nov-2020,3.0%,0.292,Citigroup,20,9
34887,"$13,000",29-Apr-2021,8.5%,0.207,Barclays,130,4
46881,"$21,000",3-Jan-2019,4.0%,0.522,Barclays,210,2
55455,"$8,000",6-Nov-2020,5.5%,0.522,Bank of America,80,3
43401,"$7,000",20-Mar-2018,7.5%,0.292,Fidelity,70,1
41997,"$13,000",2-Dec-2020,7.0%,0.207,Barclays,130,10
36501,"$45,000",2-Dec-2020,6.5%,0.526,HSBC,450,10
58173,"$14,000",15-Sep-2019,9.0%,0.522,Deutsche Bank,140,5
31863,"$7,000",26-Oct-2019,9.0%,0.207,Fidelity,70,9
50480,"$10,000",18-Mar-2019,6.5%,0.526,US Bancorp,100,1
56162,"$35,000",20-Apr-2020,8.5%,0.526,Fidelity,350,2
48279,"$17,000",18-May-2020,8.5%,0.287,Citigroup,170,3
39795,"$7,000",8-Mar-2020,6.5%,0.522,Barclays,70,8
35490,"$8,000",9-Dec-2020,4.5%,0.207,JPMorgan Chase,80,9
58863,"$8,000",1-Dec-2017,5.5%,0.287,Barclays,80,4
34354,"$8,000",16-Jan-2018,6.5%,0.287,Bank of America,80,7
37343,"$9,000",31-Jan-2021,6.0%,0.292,TD Bank,90,10
52417,"$16,000",9-Feb-2020,7.5%,0.292,Fidelity,160,10
43822,"$8,000",22-Aug-2019,6.0%,0.287,US Bancorp,80,5
48554,"$15,000",27-Jul-2017,3.0%,0.207,Banco Santander,150,1
48400,"$11,000",23-Jan-2019,4.5%,0.292,US Bancorp,110,5
46785,"$2,000",17-Sep-2018,5.0%,0.207,HSBC,20,4
55662,"$4,000",25-Feb-2021,7.0%,0.292,Suntrust,40,2
30793,"$10,000",28-Feb-2019,6.0%,0.522,US Bancorp,100,1
37528,"$2,000",22-Jun-2020,4.0%,0.287,US Bancorp,20,1
31116,"$4,000",26-May-2017,5.5%,0.526,TD Bank,40,4
44792,"$3,000",18-Aug-2018,6.5%,0.292,JPMorgan Chase,30,9
31742,"$4,000",13-Mar-2020,6.5%,0.522,Capital One,40,8
33487,"$14,000",10-Oct-2017,3.0%,0.522,Wells Fargo,140,3
32755,"$8,000",14-Feb-2018,5.0%,0.526,US Bancorp,80,10
34849,"$11,000",3-Feb-2019,4.0%,0.292,American Express,110,9
30815,"$6,000",30-Jan-2020,4.5%,0.292,US Bancorp,60,8
37390,"$16,000",25-May-2019,5.5%,0.522,US Bancorp,160,3
36330,"$7,000",8-Feb-2019,7.5%,0.526,JPMorgan Chase,70,8
37855,"$6,000",5-May-2018,7.0%,0.522,TD Bank,60,9
39378,"$13,000",26-Dec-2017,8.5%,0.287,American Express,130,7
41023,"$8,000",19-Sep-2018,5.5%,0.287,Banco Santander,80,6
39221,"$4,000",18-Nov-2019,4.0%,0.287,HSBC,40,6
34304,"$12,000",10-Oct-2020,6.0%,0.287,Suntrust,120,6
58638,"$11,000",30-Mar-2020,5.5%,0.526,US Bancorp,110,9
37726,"$3,000",15-Jan-2020,3.5%,0.292,Citigroup,30,7
42065,"$10,000",17-Feb-2020,8.5%,0.526,Citigroup,100,9
58157,"$5,000",3-Jul-2019,5.5%,0.292,Banco Santander,50,5
59069,"$19,000",20-Mar-2020,6.5%,0.526,Barclays,190,1
42398,"$1,000",26-Mar-2021,3.5%,0.526,Bank of America,10,9
32540,"$3,000",22-Oct-2018,3.5%,0.287,American Express,30,3
44274,"$11,000",28-Jan-2020,6.0%,0.207,Capital One,110,2
42008,"$6,000",15-Aug-2020,3.5%,0.287,Banco Santander,60,6
60419,"$8,000",27-Apr-2021,7.5%,0.522,Wells Fargo,80,10
51749,"$10,000",26-May-2017,7.0%,0.287,HSBC,100,1
50591,"$9,000",26-Jan-2020,8.5%,0.522,Goldman Sachs,90,2
60396,"$14,000",31-May-2018,6.0%,0.526,HSBC,140,3
55327,"$9,000",16-Apr-2021,6.0%,0.292,American Express,90,5
44700,"$4,000",5-Jan-2021,7.5%,0.287,Goldman Sachs,40,6
48701,"$8,000",28-May-2020,8.5%,0.526,JPMorgan Chase,80,9
33089,"$9,000",27-Apr-2021,8.0%,0.207,Goldman Sachs,90,3
34924,"$3,000",19-Mar-2021,4.5%,0.207,Wells Fargo,30,8
32822,"$5,000",24-Dec-2019,7.5%,0.287,Capital One,50,5
60237,"$3,000",19-Jul-2017,5.0%,0.522,Barclays,30,9
34397,"$5,000",24-Dec-2019,6.0%,0.287,American Express,50,3
39880,"$5,000",13-Aug-2017,9.0%,0.526,TD Bank,50,10
59323,"$6,000",1-Jan-2019,7.5%,0.292,US Bancorp,60,10
34539,"$9,000",25-Sep-2018,7.5%,0.292,Suntrust,90,8
59672,"$10,000",1-Jul-2020,8.0%,0.287,US Bancorp,100,6
55046,"$6,000",21-Mar-2020,6.5%,0.522,HSBC,60,4
32843,"$4,000",27-Oct-2019,6.5%,0.522,Banco Santander,40,6
50756,"$6,000",2-Mar-2020,4.5%,0.207,Goldman Sachs,60,8
41788,"$5,000",2-Nov-2018,6.0%,0.207,Capital One,50,4
32841,"$8,000",15-Jun-2020,6.5%,0.207,Banco Santander,80,1
40778,"$28,000",30-Oct-2019,6.5%,0.287,Bank of America,280,8
60515,"$21,000",2-Nov-2018,8.0%,0.526,Barclays,210,9
51367,"$4,000",25-Oct-2018,5.5%,0.292,Goldman Sachs,40,10
39645,"$3,000",31-Aug-2020,6.5%,0.287,Citigroup,30,5
31796,"$9,000",31-Dec-2018,5.0%,0.287,TD Bank,90,7
55656,"$11,000",10-Mar-2021,4.5%,0.287,Citigroup,110,4
59535,"$4,000",13-Dec-2019,7.5%,0.287,HSBC,40,9
57738,"$4,000",23-Mar-2019,5.5%,0.207,Bank of America,40,1
30822,"$6,000",3-Jan-2020,7.5%,0.292,Banco Santander,60,8
33308,"$7,000",16-Jan-2020,4.5%,0.522,JPMorgan Chase,70,3
31404,"$6,000",5-Mar-2020,3.5%,0.287,Banco Santander,60,9
54163,"$7,000",27-Nov-2019,6.0%,0.287,Banco Santander,70,7
41421,"$10,000",8-Jun-2019,3.0%,0.522,US Bancorp,100,5
42941,"$9,000",15-Feb-2020,6.0%,0.526,Banco Santander,90,5
45528,"$8,000",26-Jan-2021,8.5%,0.287,Bank of America,80,8
53103,"$4,000",18-Aug-2018,4.5%,0.287,JPMorgan Chase,40,1
33372,"$1,000",7-Dec-2017,3.5%,0.526,Deutsche Bank,10,6
54745,"$7,000",23-Jul-2019,8.0%,0.287,Fidelity,70,2
32560,"$9,000",15-Jan-2019,5.0%,0.207,Wells Fargo,90,6
47022,"$6,000",11-Feb-2020,3.0%,0.287,Citigroup,60,2
59167,"$2,000",11-Mar-2021,6.5%,0.287,Capital One,20,2
40240,"$4,000",15-Jul-2019,7.0%,0.292,Barclays,40,9
32157,"$4,000",24-Jul-2019,6.5%,0.287,Citigroup,40,10
45806,"$10,000",12-Jan-2018,8.0%,0.292,Wells Fargo,100,9
33634,"$10,000",23-Dec-2018,5.5%,0.526,Wells Fargo,100,10
43985,"$2,000",1-May-2018,7.5%,0.292,Fidelity,20,3
45644,"$7,000",27-Oct-2020,3.0%,0.287,Wells Fargo,70,4
32963,"$10,000",28-Jan-2021,8.5%,0.292,Wells Fargo,100,2
38714,"$7,000",17-Aug-2019,4.5%,0.207,Deutsche Bank,70,5
39270,"$35,000",20-Dec-2017,8.0%,0.522,Fidelity,350,4
44407,"$11,000",9-Feb-2018,3.5%,0.207,Deutsche Bank,110,2
31012,"$6,000",15-Dec-2017,3.0%,0.526,JPMorgan Chase,60,9
51205,"$15,000",24-Jan-2021,8.5%,0.526,Goldman Sachs,150,3
53002,"$5,000",16-Aug-2019,8.5%,0.207,Wells Fargo,50,5
51519,"$2,000",21-Jul-2019,7.0%,0.207,Goldman Sachs,20,9
54319,"$20,000",9-Oct-2019,5.0%,0.287,American Express,200,8
44440,"$3,000",11-Oct-2020,5.5%,0.522,American Express,30,2
54320,"$5,000",2-Feb-2019,4.0%,0.292,TD Bank,50,3
48230,"$7,000",23-Jul-2017,4.5%,0.207,Goldman Sachs,70,7
46912,"$13,000",7-Apr-2019,4.0%,0.522,Suntrust,130,6
58710,"$17,000",19-Mar-2021,3.0%,0.292,US Bancorp,170,8
40433,"$10,000",19-Oct-2019,7.5%,0.287,US Bancorp,100,10
53494,"$13,000",14-Oct-2018,7.0%,0.526,Bank of America,130,4
57209,"$6,000",2-Feb-2018,5.5%,0.207,Citigroup,60,7
43166,"$3,000",25-Feb-2018,5.5%,0.287,Goldman Sachs,30,7
55592,"$11,000",5-Mar-2018,3.0%,0.292,Fidelity,110,7
54414,"$5,000",17-Jan-2019,9.0%,0.207,Banco Santander,50,1
45009,"$45,000",20-May-2019,6.0%,0.522,TD Bank,450,10
38928,"$16,000",16-Jan-2018,3.0%,0.526,Goldman Sachs,160,3
34469,"$8,000",11-Jul-2017,8.5%,0.522,Suntrust,80,2
41176,"$8,000",2-Feb-2020,6.0%,0.287,Citigroup,80,5
50592,"$11,000",15-Jun-2017,8.5%,0.522,Goldman Sachs,110,7
42290,"$5,000",8-Aug-2020,3.5%,0.526,Deutsche Bank,50,10
45642,"$2,000",2-Aug-2018,8.5%,0.287,US Bancorp,20,3
31017,"$24,000",28-Jun-2017,4.5%,0.522,Wells Fargo,240,7
31344,"$15,000",27-Apr-2021,8.5%,0.292,JPMorgan Chase,150,5
33800,"$7,000",1-Mar-2019,6.5%,0.207,Citigroup,70,8
46979,"$9,000",22-Mar-2020,4.0%,0.522,American Express,90,1
44630,"$2,000",7-Oct-2017,5.5%,0.287,Banco Santander,20,6
42210,"$10,000",7-Oct-2017,3.5%,0.526,US Bancorp,100,5
46530,"$2,000",17-May-2017,5.0%,0.522,Fidelity,20,10
31374,"$8,000",27-Dec-2019,6.0%,0.207,Citigroup,80,4
37607,"$4,000",27-Dec-2019,8.5%,0.207,Barclays,40,3
33954,"$5,000",29-Nov-2017,4.0%,0.522,Banco Santander,50,4
59483,"$9,000",25-Dec-2017,7.0%,0.522,Wells Fargo,90,9
32233,"$12,000",20-Nov-2019,5.0%,0.292,Bank of America,120,8
49973,"$4,000",1-Mar-2021,5.0%,0.287,Citigroup,40,5
40442,"$8,000",26-Jun-2017,3.5%,0.287,US Bancorp,80,6
54651,"$7,000",4-Sep-2018,4.5%,0.287,Fidelity,70,1
49635,"$3,000",17-Nov-2020,6.0%,0.292,Citigroup,30,3
32984,"$5,000",9-Jan-2021,5.5%,0.292,Deutsche Bank,50,7
44841,"$19,000",5-Mar-2020,8.5%,0.292,Deutsche Bank,190,4
54891,"$4,000",23-Jan-2021,3.5%,0.292,American Express,40,8
30843,"$9,000",8-Sep-2020,4.0%,0.522,JPMorgan Chase,90,5
40640,"$6,000",5-Mar-2018,6.0%,0.287,Suntrust,60,4
57073,"$10,000",25-Mar-2021,5.5%,0.522,Deutsche Bank,100,4
33825,"$9,000",27-Sep-2018,6.0%,0.526,HSBC,90,5
42955,"$7,000",9-Feb-2021,8.0%,0.526,American Express,70,1
54943,"$10,000",12-Dec-2020,5.0%,0.287,TD Bank,100,5
35053,"$9,000",4-Jun-2020,4.5%,0.207,Citigroup,90,9
34799,"$7,000",2-Mar-2019,3.5%,0.287,TD Bank,70,3
35316,"$8,000",7-Mar-2020,5.5%,0.526,Suntrust,80,4
41967,"$3,000",1-Dec-2019,7.0%,0.292,Capital One,30,9
53067,"$8,000",9-May-2021,9.0%,0.526,Fidelity,80,9
57926,"$3,000",7-Sep-2020,4.0%,0.292,Wells Fargo,30,10
53179,"$5,000",23-Sep-2020,6.5%,0.287,Wells Fargo,50,3
60659,"$15,000",20-Sep-2017,3.5%,0.207,Citigroup,150,1
46736,"$9,000",24-Dec-2020,6.0%,0.207,Goldman Sachs,90,9
40230,"$18,000",12-Nov-2017,5.0%,0.526,Goldman Sachs,180,10
59765,"$2,000",25-Feb-2021,9.0%,0.287,Goldman Sachs,20,3
39563,"$3,000",29-Apr-2019,3.0%,0.287,HSBC,30,6
37858,"$2,000",27-Jan-2021,8.5%,0.522,JPMorgan Chase,20,1
46675,"$4,000",23-Jan-2021,5.5%,0.522,American Express,40,2
56101,"$13,000",21-Sep-2020,9.0%,0.522,Banco Santander,130,7
35168,"$9,000",6-Sep-2019,3.0%,0.207,Wells Fargo,90,8
53971,"$22,000",8-Jul-2020,3.0%,0.292,Suntrust,220,10
38408,"$4,000",7-Sep-2019,9.0%,0.522,Banco Santander,40,3
35733,"$5,000",4-Apr-2019,3.0%,0.526,Banco Santander,50,6
34255,"$3,000",16-Mar-2021,3.0%,0.207,HSBC,30,5
53996,"$7,000",10-Mar-2018,8.5%,0.292,Citigroup,70,5
47645,"$9,000",14-Jun-2019,9.0%,0.522,Citigroup,90,10
54846,"$4,000",25-Apr-2018,5.5%,0.287,Banco Santander,40,2
52819,"$14,000",16-Oct-2019,9.0%,0.207,Banco Santander,140,9
47661,"$2,000",4-Dec-2019,9.0%,0.207,American Express,20,4
46567,"$6,000",27-May-2017,6.0%,0.526,American Express,60,4
58640,"$5,000",28-Jun-2019,6.0%,0.526,American Express,50,5
59377,"$2,000",16-Apr-2019,5.5%,0.287,Deutsche Bank,20,7
47121,"$8,000",17-May-2019,8.5%,0.207,Bank of America,80,9
38584,"$4,000",6-Jul-2020,6.5%,0.292,JPMorgan Chase,40,2
42436,"$4,000",14-Aug-2018,7.5%,0.287,US Bancorp,40,9
34433,"$4,000",22-Apr-2019,5.5%,0.207,Bank of America,40,10
50463,"$19,000",3-Mar-2020,4.0%,0.292,US Bancorp,190,3
53717,"$8,000",6-Apr-2021,3.0%,0.207,American Express,80,7
30354,"$11,000",1-Aug-2020,8.0%,0.287,HSBC,110,5
50042,"$11,000",5-Feb-2018,3.5%,0.292,Citigroup,110,6
33056,"$11,000",17-Aug-2019,5.5%,0.287,Goldman Sachs,110,2
54038,"$5,000",8-Oct-2019,8.0%,0.207,American Express,50,2
40084,"$27,000",24-Apr-2018,3.0%,0.526,Banco Santander,270,2
44695,"$3,000",12-Jan-2018,4.0%,0.207,American Express,30,7
37279,"$10,000",5-Oct-2018,6.0%,0.522,Fidelity,100,6
38570,"$4,000",26-Oct-2017,3.5%,0.522,Wells Fargo,40,8
47155,"$14,000",30-Dec-2020,4.5%,0.287,US Bancorp,140,2
48653,"$14,000",18-Oct-2017,6.5%,0.522,TD Bank,140,10
35742,"$7,000",11-May-2017,9.0%,0.522,Wells Fargo,70,1
33309,"$20,000",22-Dec-2018,7.5%,0.526,Wells Fargo,200,2
36575,"$5,000",13-Aug-2018,7.0%,0.526,JPMorgan Chase,50,10
47999,"$3,000",12-Dec-2019,6.0%,0.207,Capital One,30,6
37861,"$7,000",17-Jul-2018,5.5%,0.207,TD Bank,70,6
40120,"$2,000",29-Nov-2018,3.0%,0.207,Citigroup,20,3
39344,"$10,000",23-Jan-2018,4.0%,0.526,Deutsche Bank,100,9
42897,"$7,000",15-Oct-2018,7.0%,0.292,US Bancorp,70,1
46248,"$4,000",21-Sep-2020,5.5%,0.292,Fidelity,40,9
31039,"$9,000",29-Jul-2019,8.0%,0.292,Banco Santander,90,4
43035,"$8,000",7-Aug-2019,5.0%,0.522,HSBC,80,9
52188,"$21,000",22-Nov-2017,5.5%,0.292,JPMorgan Chase,210,1
58065,"$14,000",7-Jun-2019,3.5%,0.287,Capital One,140,6
52521,"$3,000",27-Sep-2018,7.5%,0.207,Barclays,30,3
46551,"$11,000",23-Jan-2020,7.5%,0.526,Capital One,110,1
32608,"$6,000",9-Oct-2017,5.5%,0.526,Banco Santander,60,6
57560,"$23,000",25-May-2017,6.5%,0.207,US Bancorp,230,1
58590,"$8,000",8-Mar-2021,4.5%,0.207,Barclays,80,3
60107,"$3,000",14-Sep-2020,4.5%,0.287,American Express,30,5
39283,"$9,000",13-Jul-2020,5.5%,0.522,Citigroup,90,10
49472,"$2,000",15-Jun-2018,4.0%,0.526,Goldman Sachs,20,8
36109,"$8,000",19-Aug-2020,3.5%,0.207,Fidelity,80,8
58390,"$4,000",4-Apr-2020,5.5%,0.522,Citigroup,40,6
42580,"$3,000",28-Oct-2019,7.0%,0.292,Barclays,30,8
50789,"$7,000",29-Apr-2019,3.0%,0.292,US Bancorp,70,2
49810,"$9,000",23-Apr-2019,6.5%,0.522,Deutsche Bank,90,1
60245,"$3,000",18-Jul-2020,8.0%,0.292,Deutsche Bank,30,9
55882,"$8,000",26-Jun-2020,7.5%,0.292,TD Bank,80,9
55743,"$13,000",25-Apr-2021,4.0%,0.526,Citigroup,130,4
32950,"$8,000",21-Sep-2020,9.0%,0.292,Suntrust,80,4
53146,"$8,000",9-Jun-2018,3.0%,0.522,American Express,80,2
37995,"$3,000",3-Jul-2019,6.0%,0.287,Goldman Sachs,30,6
35232,"$2,000",7-Jan-2019,5.5%,0.292,Deutsche Bank,20,10
39016,"$7,000",6-Aug-2017,3.5%,0.526,Wells Fargo,70,3
51489,"$5,000",30-Aug-2017,6.0%,0.292,Goldman Sachs,50,2
49136,"$4,000",23-Mar-2020,5.5%,0.287,Fidelity,40,6
45242,"$7,000",25-Mar-2021,4.5%,0.292,US Bancorp,70,5
42591,"$3,000",30-Aug-2017,3.0%,0.292,US Bancorp,30,4
45319,"$1,000",13-Jun-2019,4.5%,0.526,Fidelity,10,7
54623,"$4,000",3-Aug-2017,7.5%,0.207,Goldman Sachs,40,5
43231,"$3,000",15-May-2020,7.5%,0.526,Citigroup,30,9
35530,"$3,000",21-Apr-2019,7.5%,0.522,Deutsche Bank,30,2
56222,"$4,000",24-Mar-2019,4.0%,0.207,Citigroup,40,9
57002,"$8,000",28-Feb-2020,5.0%,0.207,Citigroup,80,4
54825,"$1,000",9-Mar-2020,6.5%,0.526,American Express,10,3
49826,"$7,000",6-Dec-2020,8.5%,0.292,US Bancorp,70,8
50193,"$7,000",10-Aug-2018,6.5%,0.207,Fidelity,70,5
42930,"$9,000",4-Mar-2020,3.0%,0.287,Wells Fargo,90,9
41236,"$6,000",2-Sep-2020,7.0%,0.287,JPMorgan Chase,60,3
54807,"$7,000",20-Apr-2018,4.0%,0.287,TD Bank,70,5
32778,"$4,000",12-Nov-2017,3.0%,0.207,Capital One,40,9
30923,"$8,000",15-Nov-2020,3.0%,0.526,HSBC,80,10
56650,"$13,000",30-Dec-2017,7.5%,0.287,Deutsche Bank,130,9
55496,"$10,000",25-Dec-2020,4.5%,0.522,HSBC,100,9
55217,"$6,000",10-Aug-2018,5.5%,0.522,JPMorgan Chase,60,5
30358,"$5,000",21-Oct-2019,4.5%,0.292,Citigroup,50,4
39800,"$6,000",27-Nov-2020,6.0%,0.207,Deutsche Bank,60,5
56994,"$15,000",20-Jun-2017,9.0%,0.207,TD Bank,150,6
57079,"$5,000",5-Feb-2019,6.5%,0.207,TD Bank,50,10
39662,"$7,000",24-Feb-2021,7.0%,0.287,Citigroup,70,2
44218,"$19,000",20-Jan-2019,8.5%,0.287,Barclays,190,2
49228,"$25,000",7-Oct-2020,3.0%,0.292,Banco Santander,250,9
45634,"$9,000",30-May-2019,6.5%,0.292,US Bancorp,90,2
37326,"$5,000",12-Sep-2019,9.0%,0.287,Banco Santander,50,9
39163,"$7,000",8-Jun-2018,3.0%,0.207,TD Bank,70,6
